emp_no,first_name,last_name,title,from_date,salary
27628,Stafford,Blokdijk,Engineer,2000-02-01,40000
426099,Alair,Sherertz,Staff,2000-02-01,58855
54420,Youngkon,Rajcani,Staff,2000-02-01,66835
416044,Gro,Schaad,Senior Engineer,2000-01-31,48091
490345,Aleksandar,Coullard,Engineer,2000-01-31,46768
296775,Uinam,Itschner,Staff,2000-01-31,40000
35991,Gurbir,Crelier,Staff,2000-01-31,60311
76398,Younwoo,Heijenga,Senior Staff,2000-01-31,40000
40563,Hongzhu,Munos,Engineer,2000-01-31,40000
28487,Ziva,Alblas,Staff,2000-01-31,71338
91113,Goncalo,Begiun,Staff,2000-01-30,80500
419818,Sanjoy,Emiris,Staff,2000-01-30,74133
98028,Rafols,Shackel,Staff,2000-01-30,40000
93915,Genevieve,Waymire,Engineer,2000-01-29,40000
427664,Toshimo,Maccarone,Engineer,2000-01-29,50290
247410,Arif,Spataro,Engineer,2000-01-29,55660
200216,Jianhua,Merey,Engineer,2000-01-28,70351
491326,Munehiko,Welham,Staff,2000-01-28,40000
453081,Seongbin,Penn,Engineer,2000-01-28,50916
34268,Soenke,Kitai,Engineer,2000-01-28,62612
277502,Selwyn,Rossi,Staff,2000-01-28,55635
484271,Hauke,Pettey,Assistant Engineer,2000-01-27,59800
488969,Remko,Benzmuller,Staff,2000-01-27,68512
248713,Valter,Gaughan,Engineer,2000-01-27,40000
200962,Goh,Melter,Senior Staff,2000-01-27,40000
91350,Boriana,Murrill,Staff,2000-01-26,44380
232384,Selwyn,Niizuma,Engineer,2000-01-26,40000
102298,Tianruo,Selenyi,Engineer,2000-01-26,40000
85761,Kazuyasu,Hofting,Engineer,2000-01-26,45148
417170,Paloma,Delgrange,Senior Engineer,2000-01-25,40000
98594,Eldridge,Kruskal,Engineer,2000-01-25,41566
492943,Satyanarayana,Skogmar,Staff,2000-01-25,40000
69993,Anwar,Silva,Staff,2000-01-25,92674
496773,Shaunak,Baak,Staff,2000-01-25,56413
235562,Doohun,Beerel,Staff,2000-01-24,70256
98052,JoAnne,Binding,Engineer,2000-01-24,47290
50324,Geraldo,Taubenfeld,Engineer,2000-01-24,40000
492107,Mart,Kitsuregawa,Engineer,2000-01-24,42171
269392,Jaana,Polupanov,Staff,2000-01-24,63360
278610,Akeno,Benzmuller,Senior Staff,2000-01-23,62499
218580,Kwee,Speek,Engineer,2000-01-23,40000
298205,Chrisa,Shackell,Staff,2000-01-22,40000
283225,Ult,Duclos,Staff,2000-01-21,93501
462685,Temple,Candan,Staff,2000-01-21,40000
472650,Theirry,Ratnakar,Senior Staff,2000-01-21,79905
468141,Janalee,Peir,Staff,2000-01-21,40995
473365,Luisa,Eterovic,Staff,2000-01-21,42184
